date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:46:18	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202024%2003:46:15%20GMT	https://vitabridge.co.za/wallet/success.html	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/wallet/success.13.delayed	(from https://vitabridge.co.za/walletpage.html)
04:46:18	3989/3989	U-----	200	untouched ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/style/walletpage.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/style/walletpage.css	(from https://vitabridge.co.za/walletpage.html)
04:46:18	17125/17125	U-----	200	untouched ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/wallet/main.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/wallet/main.css	(from https://vitabridge.co.za/walletpage.html)
04:46:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202024%2003:46:15%20GMT	https://vitabridge.co.za/assets/qr.html	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/assets/qr.html	(from https://vitabridge.co.za/walletpage.html)
04:46:19	161409/161409	U-----	200	untouched ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/wallet/bootstrap.min.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/wallet/bootstrap.min.css	(from https://vitabridge.co.za/walletpage.html)
04:46:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202024%2003:46:16%20GMT	https://vitabridge.co.za/wallet/error.html	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/wallet/error.html	(from https://vitabridge.co.za/walletpage.html)
04:46:20	13/13	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/syncwallet.online/static/idlefinance-80d51872039fc5e44da8471f772e7b8e.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/syncwallet.online/static/idlefinance-80d51872039fc5e44da8471f772e7b8e.png	(from https://vitabridge.co.za/walletpage.html)
04:46:21	2385/2385	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/ethereum-magicians.org/uploads/default/original/1X/e726391f66eb7da7a0ed7d780b4df5e8e2416a17.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/ethereum-magicians.org/uploads/default/original/1X/e726391f66eb7da7a0ed7d780b4df5e8e2416a17.png	(from https://vitabridge.co.za/walletpage.html)
04:46:22	9995/9995	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/images/brd.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/images/brd.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:22	7070/7070	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/dvh1deh6tagwk.cloudfront.net/finder-au/wp-uploads/2017/09/Coinbaselogo_Supplied_250x250-2.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/dvh1deh6tagwk.cloudfront.net/finder-au/wp-uploads/2017/09/Coinbaselogo_Supplied_250x250-2.png	(from https://vitabridge.co.za/walletpage.html)
04:46:22	25945/25945	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/is3-ssl.mzstatic.com/image/thumb/Purple123/v4/30/cd/3a/30cd3a4a-301f-1e00-0899-94d3fb5d07cf/AppIcon-0-1x_U007emarketing-0-5-0-85-220.png/1200x630wa.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/is3-ssl.mzstatic.com/image/thumb/Purple123/v4/30/cd/3a/30cd3a4a-301f-1e00-0899-94d3fb5d07cf/AppIcon-0-1x_U007emarketing-0-5-0-85-220.png/1200x630wa.png	(from https://vitabridge.co.za/walletpage.html)
04:46:23	28718/28718	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/s3.cointelegraph.com/storage/uploads/view/b5ae1eb5338c76c6409e658e8e217032.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/s3.cointelegraph.com/storage/uploads/view/b5ae1eb5338c76c6409e658e8e217032.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:24	13424/13424	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/images/cosmos.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/images/cosmos.png	(from https://vitabridge.co.za/walletpage.html)
04:46:24	26873/26873	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/www.esports.net/wp-content/uploads/2022/02/wax-wallet.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/www.esports.net/wp-content/uploads/2022/02/wax-wallet.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:24	21766/21766	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/images/terra.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/images/terra.png	(from https://vitabridge.co.za/walletpage.html)
04:46:24	73767/73767	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/images/saitama.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/images/saitama.png	(from https://vitabridge.co.za/walletpage.html)
04:46:24	3663/3663	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/images/phantom.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/images/phantom.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:25	47433/47433	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/images/exodus.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/images/exodus.png	(from https://vitabridge.co.za/walletpage.html)
04:46:25	20471/20471	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/1ae92b26df02f0abca6304df07debccd18262fdf5fe82daa81593582dac9a369.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/1ae92b26df02f0abca6304df07debccd18262fdf5fe82daa81593582dac9a369.png	(from https://vitabridge.co.za/walletpage.html)
04:46:25	6633/6633	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:25	35157/35157	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.png	(from https://vitabridge.co.za/walletpage.html)
04:46:26	59758/59758	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/user-images.githubusercontent.com/12424618/54043975-b6cdb800-4182-11e9-83bd-0cd2eb757c6e.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/user-images.githubusercontent.com/12424618/54043975-b6cdb800-4182-11e9-83bd-0cd2eb757c6e.png	(from https://vitabridge.co.za/walletpage.html)
04:46:26	10892/10892	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:27	7423/7423	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/9d373b43ad4d2cf190fb1a774ec964a1addf406d6fd24af94ab7596e58c291b2.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/9d373b43ad4d2cf190fb1a774ec964a1addf406d6fd24af94ab7596e58c291b2.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:27	3954/3954	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/0b58bf037bf943e934706796fb017d59eace1dadcbc1d9fe24d9b46629e5985c.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/0b58bf037bf943e934706796fb017d59eace1dadcbc1d9fe24d9b46629e5985c.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:28	7828/7828	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:28	3936/3936	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.png	(from https://vitabridge.co.za/walletpage.html)
04:46:28	13502/13502	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/6bb4596640ce9f8c02fbaa83e3685425455a0917d025608b4abc53bfe55887c6.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/6bb4596640ce9f8c02fbaa83e3685425455a0917d025608b4abc53bfe55887c6.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:28	222338/222338	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/cryptologos.cc/logos/aave-aave-logo992f.png?v=022	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/cryptologos.cc/logos/aave-aave-logo992f992f.png	(from https://vitabridge.co.za/walletpage.html)
04:46:28	5516/5516	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/s2.coinmarketcap.com/static/img/coins/200x200/2772.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/s2.coinmarketcap.com/static/img/coins/200x200/2772.png	(from https://vitabridge.co.za/walletpage.html)
04:46:29	12526/12526	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/185850e869e40f4e6c59b5b3f60b7e63a72e88b09e2a43a40b1fd0f237e49e9a.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/185850e869e40f4e6c59b5b3f60b7e63a72e88b09e2a43a40b1fd0f237e49e9a.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:29	6274/6274	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/bitcoin-trading.io/wp-content/uploads/2021/10/ledger_logo.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/bitcoin-trading.io/wp-content/uploads/2021/10/ledger_logo.png	(from https://vitabridge.co.za/walletpage.html)
04:46:29	15243/15243	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/cdn.dribbble.com/users/1298186/screenshots/4669247/portis_logo_dribbble.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/cdn.dribbble.com/users/1298186/screenshots/4669247/portis_logo_dribbble.png	(from https://vitabridge.co.za/walletpage.html)
04:46:29	5563/5563	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/pbs.twimg.com/profile_images/1293288961800933376/rtDOqMXY_400x400.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/pbs.twimg.com/profile_images/1293288961800933376/rtDOqMXY_400x400.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:30	11654/11654	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/b021913ba555948a1c81eb3d89b372be46f8354e926679de648e4fa2938bed3e.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/b021913ba555948a1c81eb3d89b372be46f8354e926679de648e4fa2938bed3e.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:30	13353/13353	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/7674bb4e353bf52886768a3ddc2a4562ce2f4191c80831291218ebd90f5f5e26.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/7674bb4e353bf52886768a3ddc2a4562ce2f4191c80831291218ebd90f5f5e26.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:30	9881/9881	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/ccb714920401f7d008dbe11281ae70e3a4bfb621763b187b9e4a3ce1ab8faa3b.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/ccb714920401f7d008dbe11281ae70e3a4bfb621763b187b9e4a3ce1ab8faa3b.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:31	7225/7225	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/83f26999937cbc2e2014655796da4b05f77c1de9413a0ee6d0c6178ebcfc3168.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/83f26999937cbc2e2014655796da4b05f77c1de9413a0ee6d0c6178ebcfc3168.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:31	12604/12604	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/71dad538ba02a9b321041d388f9c1efe14e0d1915a2ea80a90405d2f6b67a33d.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/71dad538ba02a9b321041d388f9c1efe14e0d1915a2ea80a90405d2f6b67a33d.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:31	14809/14809	U-----	200	untouched ('')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/efba9ae0a9e0fdd9e3e055ddf3c8e75f294babb8aea3499456eff27f771fda61.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/efba9ae0a9e0fdd9e3e055ddf3c8e75f294babb8aea3499456eff27f771fda61.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:33	5366/5366	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/beea4e71c2ffbb48b59b21e33fb0049ef6522585aa9c8a33a97d3e1c81f16693.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/beea4e71c2ffbb48b59b21e33fb0049ef6522585aa9c8a33a97d3e1c81f16693.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:33	103975/103975	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/cryptologos.cc/logos/tron-trx-logo.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/cryptologos.cc/logos/tron-trx-logo.png	(from https://vitabridge.co.za/walletpage.html)
04:46:33	9922/9922	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/138f51c8d00ac7b9ac9d8dc75344d096a7dfe370a568aa167eabc0a21830ed98.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/138f51c8d00ac7b9ac9d8dc75344d096a7dfe370a568aa167eabc0a21830ed98.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:34	8114/8114	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/468b4ab3582757233017ec10735863489104515ab160c053074905a1eecb7e63.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/468b4ab3582757233017ec10735863489104515ab160c053074905a1eecb7e63.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:34	10588/10588	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/29f4a70ad5993f3f73ae8119f0e78ecbae51deec2a021a770225c644935c0f09.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/29f4a70ad5993f3f73ae8119f0e78ecbae51deec2a021a770225c644935c0f09.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:35	12007/12007	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/6ec1ffc9627c3b9f87676da3f7b5796828a6c016d3253e51e771e6f951cb5702.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/6ec1ffc9627c3b9f87676da3f7b5796828a6c016d3253e51e771e6f951cb5702.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:36	149192/149192	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/bittrust.s3.amazonaws.com/1433894569.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/bittrust.s3.amazonaws.com/1433894569.png	(from https://vitabridge.co.za/walletpage.html)
04:46:36	12328/12328	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/a395dbfc92b5519cbd1cc6937a4e79830187daaeb2c6fcdf9b9cce4255f2dcd5.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/a395dbfc92b5519cbd1cc6937a4e79830187daaeb2c6fcdf9b9cce4255f2dcd5.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:36	4838/4838	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/c889f5add667a8c69d147d613c7f18a4bd97c2e47c946cabfdd13ec1d596e4a0.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/c889f5add667a8c69d147d613c7f18a4bd97c2e47c946cabfdd13ec1d596e4a0.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:37	5103/5103	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/3f1bc4a8fd72b3665459ec5c99ee51b424f6beeebe46b45f4a70cf08a84cbc50.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/3f1bc4a8fd72b3665459ec5c99ee51b424f6beeebe46b45f4a70cf08a84cbc50.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:39	3744/3744	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/7b83869f03dc3848866e0299bc630aaf3213bea95cd6cecfbe149389cf457a09.jpg	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/7b83869f03dc3848866e0299bc630aaf3213bea95cd6cecfbe149389cf457a09.jpg	(from https://vitabridge.co.za/walletpage.html)
04:46:40	13736/13736	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/registry.walletconnect.org/logo/lg/0b415a746fb9ee99cce155c2ceca0c6f6061b1dbca2d722b3ba16381d0562150.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/registry.walletconnect.org/logo/lg/0b415a746fb9ee99cce155c2ceca0c6f6061b1dbca2d722b3ba16381d0562150.png	(from https://vitabridge.co.za/walletpage.html)
